,iso3,loage,hiage,women,year
7625,AFG,65,69,127,2005
7626,AFG,70,74,82,2005
7627,AFG,75,79,47,2005
7628,AFG,80,84,23,2005
7632,AFG,80,NA,NA,2005
7629,AFG,85,89,7,2005
7630,AFG,90,94,1,2005
7631,AFG,95,99,0,2005
7633,AFG,15,19,1467,2010
7634,AFG,20,24,1183,2010
7635,AFG,25,29,1022,2010
7636,AFG,30,34,825,2010
7637,AFG,35,39,651,2010
7638,AFG,40,44,525,2010
7639,AFG,45,49,422,2010
7640,AFG,50,54,344,2010
7641,AFG,55,59,278,2010
7642,AFG,60,64,237,2010
7643,AFG,65,69,153,2010
7644,AFG,70,74,100,2010
7645,AFG,75,79,57,2010
7646,AFG,80,84,26,2010
7650,AFG,80,NA,NA,2010
7647,AFG,85,89,9,2010
7648,AFG,90,94,2,2010
7649,AFG,95,99,0,2010
7651,AFG,15,19,1912,2015
7652,AFG,20,24,1501,2015
7653,AFG,25,29,1195,2015
7654,AFG,30,34,1015,2015
7655,AFG,35,39,814,2015
7656,AFG,40,44,639,2015
7657,AFG,45,49,512,2015
7658,AFG,50,54,408,2015
7659,AFG,55,59,327,2015
7660,AFG,60,64,257,2015
7661,AFG,65,69,208,2015
7662,AFG,70,74,124,2015
7663,AFG,75,79,71,2015
7664,AFG,80,84,33,2015
7668,AFG,80,NA,NA,2015
7665,AFG,85,89,11,2015
7666,AFG,90,94,2,2015
7667,AFG,95,99,0,2015
2161,AGO,15,19,642,1990
2162,AGO,20,24,521,1990
2163,AGO,25,29,439,1990
2164,AGO,30,34,369,1990
2165,AGO,35,39,317,1990
2166,AGO,40,44,208,1990
2167,AGO,45,49,178,1990
2168,AGO,50,54,155,1990
2169,AGO,55,59,132,1990
2170,AGO,60,64,109,1990
2171,AGO,65,69,81,1990
2172,AGO,70,74,53,1990
2173,AGO,75,79,29,1990
2174,AGO,80,84,12,1990
2178,AGO,80,NA,NA,1990
2175,AGO,85,89,3,1990
2176,AGO,90,94,1,1990
2177,AGO,95,99,0,1990
2179,AGO,15,19,781,1995
2180,AGO,20,24,630,1995
2181,AGO,25,29,508,1995
2182,AGO,30,34,426,1995
2183,AGO,35,39,355,1995
2184,AGO,40,44,304,1995
2185,AGO,45,49,198,1995
2186,AGO,50,54,168,1995
2187,AGO,55,59,143,1995
2188,AGO,60,64,117,1995
2189,AGO,65,69,91,1995
2190,AGO,70,74,61,1995
2191,AGO,75,79,34,1995
2192,AGO,80,84,15,1995
2196,AGO,80,NA,NA,1995
2193,AGO,85,89,4,1995
2194,AGO,90,94,1,1995
2195,AGO,95,99,0,1995
2197,AGO,15,19,895,2000
2198,AGO,20,24,753,2000
2199,AGO,25,29,605,2000
2200,AGO,30,34,486,2000
2201,AGO,35,39,405,2000
2202,AGO,40,44,336,2000
2203,AGO,45,49,286,2000
2204,AGO,50,54,184,2000
2205,AGO,55,59,153,2000
2206,AGO,60,64,126,2000
2207,AGO,65,69,97,2000
2208,AGO,70,74,69,2000
2209,AGO,75,79,39,2000
2210,AGO,80,84,18,2000
2214,AGO,80,NA,NA,2000
2211,AGO,85,89,5,2000
2212,AGO,90,94,1,2000
2213,AGO,95,99,0,2000
2215,AGO,15,19,1068,2005
2216,AGO,20,24,884,2005
2217,AGO,25,29,741,2005
2218,AGO,30,34,593,2005
2219,AGO,35,39,474,2005
2220,AGO,40,44,393,2005
2221,AGO,45,49,324,2005
2222,AGO,50,54,273,2005
2223,AGO,55,59,173,2005
2224,AGO,60,64,140,2005
2225,AGO,65,69,109,2005
2226,AGO,70,74,77,2005
2227,AGO,75,79,47,2005
2228,AGO,80,84,22,2005
2232,AGO,80,NA,NA,2005
2229,AGO,85,89,7,2005
2230,AGO,90,94,1,2005
2231,AGO,95,99,0,2005
2233,AGO,15,19,1250,2010
2234,AGO,20,24,1054,2010
2235,AGO,25,29,870,2010
2236,AGO,30,34,727,2010
2237,AGO,35,39,579,2010
2238,AGO,40,44,461,2010
2239,AGO,45,49,380,2010
2240,AGO,50,54,311,2010
2241,AGO,55,59,258,2010
2242,AGO,60,64,160,2010
2243,AGO,65,69,123,2010
2244,AGO,70,74,89,2010
2245,AGO,75,79,55,2010
2246,AGO,80,84,28,2010
2250,AGO,80,NA,NA,2010
2247,AGO,85,89,9,2010
2248,AGO,90,94,2,2010
